geneid	fold change
b3916	0.72006186
b1723	0.832999977
b3952	0.362432786
b0902	2.103881352
b0903	0.323323016
b3951	0.500511275
b2579	0.521099525
b3114	0.196554203
b4025	0.055909013
b2926	0.46966132
b0767	0.33676253
b0351	0.318034717
b1241	0.471852879
b2587	1.091364982
b3612	0.312154569
b0755	0.228478603
b4395	0.267045551
b2987	1.274571082
b3493	0.919484785
b0356	3.228400998
b1478	1.285520757
s0001
b3115	0.283786947
b1849	1.103971574
b2296	1.818853153
b3956	0.096342393
b1276	0.469863888
b0118	0.239160647
b3403	0.421216318
b1702	1.324692739
b0474	1.207424491
b0727	0.493351152
b0116	1.584141108
b0726	0.484323969
b3735	1.026462158
b3734	0.523802107
b3737	1.56634258
b3736	0.928040593
b3733	0.309290101
b3732	0.229709474
b3731	0.244389473
b3739	0.831282924
b3738	0.751800414
b2458	1.2272818
b2297	1.576513959
b1676	0.113154897
b1854	0.338900357
b4301	0.338576403
b3386	2.159308055
b0720	0.580583103
b4090	0.119389251
b2914	2.254769522
b3528	0.084894829
b0978	0.291527303
b0734	0.39995228
b0733	0.737669172
b0979	0.431035384
b3603	0.062150066
b2975	0.787502258
b2779	1.425617794
b0723	0.484800178
b0724	0.440261065
b0722	1.202368245
b0721	1.008868436
b0729	0.551774498
b0728	0.499217018
b0008	1.152629133
b2464	0.544406809
b1602	0.283525847
b1603	0.232901187
b2935	0.407254707
b2465	0.807916593
b3919	1.347215896
b2925	0.835426965
b2097	2.509272867
b1773	1.009294989
b4232	0.379138518
b3925	1.574539994
b2492	0.16740562
b0904	3.043925909
b4152	0.889569228
b4154	1.179024749
b4151	0.831896745
b4153	0.840624106
b2415	1.089052235
b1819	0.790272488
b1817	0.666119072
b1818	0.774036025
b2416	0.628382576
b4122	0.053642351
b1612	0.827710212
b1611	1.019998786
b1852	0.331207735
b1779	1.184491439
b2417	1.15144126
b1621	1.30890774
b1101	0.203573917
b1297	0.268259649
b3870	0.178341385
b0811	1.126223542
b0810	0.442985262
b0809	0.549728751
b1761	0.127376726
b1524	1.177402362
b0485	0.072708154
b1812	0.455814589
b3212	0.20840292
b3213	0.235477132
b4077	0.378303144
b2029	1.700791311
b0875	2.393532358
b1136	1.221109121
b4015	0.184309341
b1380	1.469972227
b2133	0.22667977
b2976	0.439528202
b4014	0.211674054
b3236	0.473474387
b1479	0.402151094
b2463	0.486767529
b2279	0.154690639
b2282	0.198892573
b2277	0.046928471
b2283	0.318835285
b2284	0.587392975
b2280	0.139310882
b2286	0.771560728
b2278	0.094580734
b2288	1.213503752
b2281	0.181756214
b2285	0.670062812
b2287	1.108249767
b2276	0.055513145
b3962	1.174904573
b0451	0.30959881
b0115	0.8554638
b0114	0.954159172
