geneid	exp_val
b3916	3239.40669
b1723	806.8397391
b3952	30.5208584
b0902	686.0052595
b0903	25952.44813
b3951	32.63332831
b2579	53484.7493
b3114	17767.75876
b4025	2936.185534
b2926	6679.731144
b0767	1379.487804
b0351	12.13234166
b1241	7714.983372
b2587	755.1758121
b3612	3416.266924
b0755	2249.461595
b4395	323.8858435
b2987	14.97212301
b3493	494.0610811
b0356	387.6264397
b1478	105.6713804
s0001
b3115	7259.911148
b1849	22.27257611
b2296	2774.111093
b3956	1225.919787
b1276	252.5873926
b0118	3767.193756
b3403	12216.52876
b1702	1168.040031
b0474	1837.93768
b0727	4328.943701
b0116	4843.796685
b0726	2443.591106
b3735	1363.364639
b3734	5802.720728
b3737	2854.583603
b3736	3598.240237
b3733	3919.163415
b3732	7258.905179
b3731	7507.940177
b3739	523.7767855
b3738	1437.771233
b2458	73.93276999
b2297	2288.64777
b1676	3015.523784
b1854	3611.827123
b4301	22.58982208
b3386	502.5583855
b0720	3328.872532
b4090	80.42721148
b2914	2243.234076
b3528	1830.416161
b0978	186.8360394
b0734	7786.029132
b0733	9469.765391
b0979	169.8692712
b3603	248.1933981
b2975	12.81803319
b2779	12534.73007
b0723	1214.251297
b0724	2079.88908
b0722	178.1329498
b0721	1678.288513
b0729	2450.273335
b0728	2730.037728
b0008	11355.10641
b2464	246.8156244
b1602	1184.93548
b1603	1403.615987
b2935	3908.822358
b2465	303.9948038
b3919	8053.620421
b2925	7676.545661
b2097	674.3799859
b1773	36.08880306
b4232	1157.179994
b3925	522.2340338
b2492	19.19034564
b0904	774.5861458
b4152	4520.037059
b4154	11376.92955
b4151	7801.334501
b4153	6631.562819
b2415	9024.79341
b1819	7301.439034
b1817	9860.4173
b1818	5926.712991
b2416	3872.542927
b4122	4024.169115
b1612	804.6002945
b1611	198.3565473
b1852	361.8243416
b1779	30578.5689
b2417	9236.646093
b1621	124.3127457
b1101	1636.662093
b1297	65.19008053
b3870	2571.531435
b0811	2648.482267
b0810	410.2686641
b0809	519.9618124
b1761	339.9615116
b1524	45.85376711
b0485	129.5485562
b1812	24.03817229
b3212	181.7473532
b3213	217.0273627
b4077	290.9717507
b2029	3403.088186
b0875	32.42269663
b1136	5658.260345
b4015	997.9501916
b1380	320.2565657
b2133	793.7816408
b2976	322.0777984
b4014	988.8864552
b3236	8462.200919
b1479	927.1376413
b2463	1554.829648
b2279	229.6746417
b2282	1211.560169
b2277	1094.093167
b2283	1637.699932
b2284	1686.034172
b2280	927.7439537
b2286	1680.233585
b2278	1668.143506
b2288	2043.707099
b2281	915.4394372
b2285	1271.118403
b2287	1694.173827
b2276	1466.193097
b3962	885.9668259
b0451	60.89209607
b0115	3923.95789
b0114	3898.569916
