GeneID	male_O	female_O	male_A	female_A
PBANKA_0300800	5022.375512	91.46674774	11824.06042	275.0283675
PBANKA_1411100	3479.362649	880.7900384	220.6831645	35.37354232
PBANKA_0606100	2754.601065	3193.504529	1256.334579	1838.693452
PBANKA_1351000	2011.667826	218.9444103	4581.637856	843.8356047
PBANKA_0816000	1877.893809	683.9485862	163.0104688	66.05173175
PBANKA_0714900	1847.56483	685.794799	214.1409594	44.53312549
PBANKA_0304300	1719.177186	560.584546	145.3244298	20.85432773
PBANKA_1304400	1661.765524	5.562661639	2234.419316	6.104192537
PBANKA_1340400	1256.674919	708.7405869	14.78049901	5.491773754
PBANKA_0303800	1251.083159	115.2056503	138.1494805	2.933387605
PBANKA_1210800	1134.273463	136.4803913	1849.052554	266.1187764
PBANKA_1303800	1067.398946	210.9419848	180.4595291	21.06761097
PBANKA_1109400	930.366882	101.9333348	1266.948302	127.1905398
PBANKA_0824700	926.5044925	240.9266828	139.5748148	29.13231898
PBANKA_1140200	881.2514093	418.5658907	87.3808048	18.4906705
PBANKA_0829700	869.8377198	533.673419	15.95348743	5.6211517
PBANKA_1426700	864.0993124	690.0628149	48.07909231	16.55791284
PBANKA_1121100	803.3770307	101.4697796	1932.556297	364.5108635
PBANKA_1121700	796.1482869	925.8565753	98.1963745	87.27546662
PBANKA_0404800	792.5411394	523.134908	158.2931001	68.85795957
PBANKA_0607900	692.085034	435.6930331	140.9980956	36.87396638
PBANKA_0507000	619.1686366	124.5011506	988.9014447	202.525976
PBANKA_1017700	591.9719527	80.88170435	1505.906223	158.4526328
PBANKA_0809300	590.6871372	409.3082366	22.78155784	7.669715038
PBANKA_1362000	562.6949834	190.634135	1141.185919	316.6861244
PBANKA_0618300	554.5011998	119.9745281	836.6058458	102.8148494
PBANKA_1232300	496.8688297	246.5133685	69.57222749	25.37555291
PBANKA_1113000	492.6753782	238.2725058	184.3607295	200.6677063
PBANKA_0831200	474.9083862	2926.91153	17.66720502	144.0405251
PBANKA_1453100	473.0875454	52.10422838	388.8330321	22.99562313
PBANKA_1334600	468.1102618	3685.653698	62.94672929	706.7742177
PBANKA_1207200	459.1277659	44.96484825	573.7468637	62.30977004
PBANKA_1025900	457.7532261	674.7175221	102.2057577	70.83897653
PBANKA_1035500	445.6978033	122.4761466	620.7899197	200.2309286
PBANKA_1237400	441.4159509	258.3232695	57.3399349	15.00470198
PBANKA_1116200	440.1192916	322.1464223	16.0218451	7.539735034
PBANKA_0505000	438.1329198	306.3426834	32.99882186	18.72472709
PBANKA_1038300	420.0072773	84.07594558	74.43486256	11.5674596
PBANKA_0718100	395.476676	61.69867999	304.0473087	32.16822957
PBANKA_1444000	377.7692885	270.7752091	105.3206655	39.27631957
PBANKA_0516200	375.0656158	336.7433568	92.7500509	57.432734
PBANKA_0823300	370.9825182	84.95257819	808.3359393	197.5485223
PBANKA_1140700	359.312584	207.9773391	361.0572313	154.9956651
PBANKA_1450200	355.5053715	788.2449579	31.25731624	22.34474843
PBANKA_0919300	352.4430483	192.6193581	668.8178482	237.7411739
PBANKA_1303300	348.0013003	122.2321702	174.0700568	56.51138947
PBANKA_0704200	321.3784008	145.5870678	87.86172658	31.97456169
PBANKA_1342800	307.2956684	213.8349894	629.5063385	608.3538312
PBANKA_0803200	306.9428268	497.9206662	43.57852526	37.90002717
PBANKA_0615400	305.9840195	277.4255504	114.1437615	107.6382829
PBANKA_1461000	301.8223196	95.49235813	121.5081805	23.99179754
PBANKA_0302300	300.3559661	36.18580535	79.00032712	6.65114419
PBANKA_1464200	298.3570135	141.0601194	584.8540111	220.0672931
PBANKA_0921300	294.2111242	472.5132612	72.20416021	79.65049325
PBANKA_0505800	292.2410916	171.1703026	53.63566171	18.41224024
PBANKA_1429600	289.3295381	2482.069382	149.7112651	1104.475156
PBANKA_1013800	284.9615848	339.3955529	42.6872959	32.74599568
PBANKA_0906600	280.1887748	137.0171393	32.00384461	9.435381502
PBANKA_1235600	265.6014543	26.05211419	502.6140824	23.73540491
PBANKA_0511000	265.1093973	330.6611982	191.0015646	139.3295764
PBANKA_0108000	261.5665394	163.0235222	217.5812282	107.7724034
PBANKA_0706700	257.4861897	122.6998899	778.9527163	285.1172096
PBANKA_0919800	254.1176452	277.6207315	35.42933257	19.42052549
PBANKA_1133400	252.0759512	41.30520243	289.9912946	25.60473294
PBANKA_1437400	246.1070467	186.5199484	678.7738565	267.037186
PBANKA_0836100	243.1961031	721.3710269	58.04794201	68.47164257
PBANKA_0109400	242.3649455	199.5327246	13.45086887	12.08588296
PBANKA_1340300	239.2490663	1519.286623	156.958379	782.3489116
PBANKA_1230000	238.9210283	227.8983437	73.50900528	43.41394532
PBANKA_0815300	231.0812503	15.02813164	71.80540652	3.865705646
PBANKA_0102100	227.1360952	62.15570725	651.5962837	158.5903747
PBANKA_0303900	222.9150552	80.12184571	65.32482485	9.510975675
PBANKA_1310100	222.6115817	111.2288351	2060.88832	872.7382252
PBANKA_1308600	213.1211388	7.197303436	1026.461815	16.30941175
PBANKA_1302800	212.3486609	92.72091035	13.77365813	3.865705646
PBANKA_1448300	209.4409192	81.85407806	4.003780824	1.778420759
PBANKA_0604400	207.5387239	59.23746693	51.21732037	6.011371454
PBANKA_0210200	198.2989862	60.94530164	275.7473317	57.32574646
PBANKA_1022800	191.3283815	55.05834276	3015.31867	801.7967062
PBANKA_1244600	189.4171559	133.2843006	32.35086342	5.843382492
PBANKA_1033400	189.0087925	65.32801411	316.5867087	48.0788108
PBANKA_0823800	185.5326419	315.3394811	10.4373465	13.70335855
PBANKA_0923200	184.0152745	152.9243998	39.0835302	21.43484433
PBANKA_0203800	179.1321106	614.759563	190.9187607	914.7333932
PBANKA_0825200	177.1457388	48.45371059	26.37583173	5.735920832
PBANKA_1014100	174.938659	53.8699864	118.8925306	27.37596872
PBANKA_1413100	174.5095964	346.5610823	104.0975407	139.7089431
PBANKA_0923800	173.2005837	72.77487004	91.98512394	35.42921112
PBANKA_1143400	168.0415348	172.0494515	91.93824639	179.5759869
