	Metabolic task id	Alternative networks	Metabolic task desciption	deregulated rxns(%)	GPR rxns	total # of rxns	p_values	fdr_bh	deregulated rxns	rxns in a min
7	3pg_c	alternative_2	3-Phospho-D-glycerate	0.7619047619047619	21	27	6.573648616758909e-05	0.0016434121541897273	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,THD2,SUCDi,NADH16,ATPS4r,FRD7,NADTRHD,ADK1,FBA	GLCpts,THD2,PGK,PFK,CYTBD,PGI,ENO,SUCDi,NADTRHD,O2t,PPS,PIt2r,NADH16,ATPS4r,ADK1,FBA,SUCOAS,GAPD,PGM,TPI,FRD7
6	3pg_c	alternative_1	3-Phospho-D-glycerate	0.75	16	22	0.0006814602120519542	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,NADH16,ATPS4r,ADK1,FBA	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,TPI,NADH16,PGK,ATPS4r,ADK1,PFK,FBA,O2t
10	pep_c	alternative_1	Phosphoenolpyruvate	0.75	16	22	0.0006814602120519542	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,NADH16,ATPS4r,ADK1,FBA	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,TPI,NADH16,PGK,ATPS4r,ADK1,PFK,FBA,O2t
5	h2o_c	alternative_2	H2O H2O	0.7222222222222222	18	26	0.000881705939469235	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PGM,GLCpts,PIt2r,THD2,NADH16,H2Ot,ACONTb,NADTRHD,FBA	CYTBD,PGI,ENO,GAPD,PGM,GLCpts,PIt2r,THD2,NADH16,TPI,H2Ot,PGK,ACONTb,NADTRHD,PFK,FBA,O2t,CO2t
21	g3p_c	alternative_2	Glyceraldehyde 3-phosphate	0.7	20	29	0.0010492975375232527	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PTAr,PIt2r,NADH16,FBA,ATPS4r,ADK1,ACKr	GLCpts,PGK,PFK,ACKr,CYTBD,PGI,ENO,PDH,O2t,CO2t,PPS,PTAr,PIt2r,NADH16,ATPS4r,ADK1,FBA,GAPD,PGM,TPI
19	f6p_c	alternative_2	D-Fructose 6-phosphate	0.7	20	29	0.0010492975375232527	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PTAr,PIt2r,NADH16,FBA,ATPS4r,ADK1,ACKr	GLCpts,PGK,PFK,ACKr,CYTBD,PGI,ENO,PDH,O2t,CO2t,PPS,PTAr,PIt2r,NADH16,ATPS4r,ADK1,FBA,GAPD,PGM,TPI
23	g6p_c	alternative_2	D-Glucose 6-phosphate	0.7	20	29	0.0010492975375232527	0.0032790548047601648	CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PTAr,PIt2r,NADH16,FBA,ATPS4r,ADK1,ACKr	GLCpts,PGK,PFK,ACKr,CYTBD,PGI,ENO,PDH,O2t,CO2t,PPS,PTAr,PIt2r,NADH16,ATPS4r,ADK1,FBA,GAPD,PGM,TPI
9	oaa_c	alternative_2	Oxaloacetate	0.7	20	28	0.0010492975375232527	0.0032790548047601648	ACONTa,PGI,ENO,CYTBD,GAPD,PPS,PGM,GLCpts,ALCD2x,NADH16,ATPS4r,ACALD,ADK1,FBA	GLCpts,PGK,PFK,ACONTa,PGI,CYTBD,ENO,ACALD,O2t,CO2t,PPS,NADH16,PPC,ATPS4r,ADK1,FBA,GAPD,PGM,TPI,ALCD2x
4	h2o_c	alternative_1	H2O H2O	0.7333333333333333	15	22	0.0015668136954825052	0.004352260265229181	CYTBD,PGI,ENO,GAPD,PGM,GLCpts,PIt2r,NADH16,H2Ot,ATPS4r,FBA	CYTBD,PGI,ENO,GAPD,PGM,GLCpts,PIt2r,TPI,NADH16,H2Ot,PGK,ATPS4r,PFK,FBA,O2t
24	succ_c	alternative_1	Succinate	0.6521739130434783	23	28	0.0026468576004656796	0.006617144001164199	ACONTa,PGI,CYTBD,ENO,GAPD,MALS,PGM,GLCpts,NADH16,ICL,ACONTb,FRD7,ATPS4r,FUM,FBA	MALS,GLCpts,CS,PGK,FUM,PFK,ACONTa,PGI,CYTBD,ENO,PDH,O2t,NADH16,PPC,ICL,ACONTb,ATPS4r,FBA,GAPD,PGM,TPI,MDH,FRD7
