	Metabolic task id	Alternative networks	Metabolic task desciption	high_expressed rxns(%)	low_expressed rxns(%) 	GPR rxns	total # of rxns	p_values	fdr_bh	high_expressed rxns	low_expressed rxns	rxns in a min
12	pyr_c	alternative_1	Pyruvate	28.57142857142857	0.0	14	19	0.0	0.0	ATPS4r,ENO,GAPD,FBA		CYTBD,PGI,ENO,GAPD,PGM,GLCpts,TPI,NADH16,PGK,PYK,ATPS4r,PFK,FBA,O2t
22	g6p_c	alternative_1	D-Glucose 6-phosphate	13.636363636363635	0.0	22	28	0.0	0.0	ATPS4r,TALA,FBA		GLCpts,TKT1,G6PDH2r,TKT2,CYTBD,PGI,PGL,RPE,NADTRHD,O2t,CO2t,TALA,PPS,PIt2r,NADH16,ATPS4r,FBP,ADK1,FBA,GND,TPI,RPI
21	g3p_c	alternative_2	Glyceraldehyde 3-phosphate	20.0	0.0	20	29	0.0	0.0	ATPS4r,ENO,GAPD,FBA		GLCpts,PGK,PFK,ACKr,CYTBD,PGI,ENO,PDH,O2t,CO2t,PPS,PTAr,PIt2r,NADH16,ATPS4r,ADK1,FBA,GAPD,PGM,TPI
20	g3p_c	alternative_1	Glyceraldehyde 3-phosphate	13.636363636363635	0.0	22	28	0.0	0.0	ATPS4r,TALA,FBA		GLCpts,TKT1,G6PDH2r,TKT2,PFK,CYTBD,PGI,PGL,RPE,NADTRHD,O2t,CO2t,TALA,PPS,PIt2r,NADH16,ATPS4r,ADK1,FBA,GND,TPI,RPI
19	f6p_c	alternative_2	D-Fructose 6-phosphate	20.0	0.0	20	29	0.0	0.0	ATPS4r,ENO,GAPD,FBA		GLCpts,PGK,PFK,ACKr,CYTBD,PGI,ENO,PDH,O2t,CO2t,PPS,PTAr,PIt2r,NADH16,ATPS4r,ADK1,FBA,GAPD,PGM,TPI
18	f6p_c	alternative_1	D-Fructose 6-phosphate	13.636363636363635	0.0	22	28	0.0	0.0	ATPS4r,TALA,FBA		GLCpts,TKT1,G6PDH2r,TKT2,CYTBD,PGI,PGL,RPE,NADTRHD,O2t,CO2t,TALA,PPS,PIt2r,NADH16,ATPS4r,FBP,ADK1,FBA,GND,TPI,RPI
6	3pg_c	alternative_1	3-Phospho-D-glycerate	25.0	0.0	16	22	0.0	0.0	ATPS4r,ENO,GAPD,FBA		CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,PIt2r,TPI,NADH16,PGK,ATPS4r,ADK1,PFK,FBA,O2t
16	e4p_c	alternative_1	D-Erythrose 4-phosphate	11.11111111111111	0.0	18	24	0.0	0.0	ATPS4r,TALA		CYTBD,PGI,TALA,PPS,PGL,GLCpts,PIt2r,RPE,NADH16,TKT1,ATPS4r,G6PDH2r,RPI,NADTRHD,ADK1,GND,O2t,CO2t
8	oaa_c	alternative_1	Oxaloacetate	23.52941176470588	0.0	17	23	0.0	0.0	ATPS4r,ENO,GAPD,FBA		CYTBD,PGI,ENO,GAPD,PPS,PGM,GLCpts,TPI,NADH16,PPC,PGK,ATPS4r,ADK1,PFK,FBA,O2t,CO2t
9	oaa_c	alternative_2	Oxaloacetate	22.727272727272727	0.0	22	28	0.0	0.0	TALA,ENO,GAPD,ATPS4r,FBA		GLCpts,TKT1,PGK,PFK,CYTBD,PGI,ENO,O2t,CO2t,TALA,PPS,PTAr,PIt2r,NADH16,PPC,ATPS4r,ADK1,FBA,GAPD,PGM,TPI,PPCK
