	Metabolic task id	Alternative networks	Metabolic task desciption	high_expressed rxns(%)	low_expressed rxns(%) 	GPR rxns	total # of rxns	p_values	fdr_bh	high_expressed rxns	low_expressed rxns	rxns in a min with GPR	rxns in a min
55	C00037_c	alternative_2	Glycine	20.0	0.0	5	22	0.0	0.0	R00945_c		R00940_c,R01248_c,R00899_c,R00945_c,R00937_c	R01220_c,Tc2eC03912_c,EXCbothC03912_e,EXCbothC05781_e,R00945_c,R00940_c,Tc2eC01419_c,EXCbothC00037_e,Tc2eC05781_c,MT_biomass_C00037_c,EXCbothC00445_e,R00937_c,R01248_c,Tc2eC00080_c,Tc2eC00037_c,EXCbothC01419_e,HBDG_c,R00899_c,EXCbothC00080_e,EXCbothC00504_e,Tc2eC00445_c,Tc2eC00504_c
32	C00010_c	alternative_3	CoA	25.0	0.0	24	64	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R00130_c,R01876_c,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,Tc2eC00831_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00253_e,EXCbothC00155_e,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R02484_c,R00004_c,Tc2eC00155_c,Tc2eC00253_c,Tc2eC00262_c,EXCbothC00019_e,R00130_c,R01876_c,Tc2eC00009_c,Tc2eC05841_c,EXCbothC00021_e,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,MT_biomass_C00010_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,EXCbothC00262_e,Tc2eC00152_c,Tc2eC00831_c,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,EXCbothC00831_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,EXCbothC00212_e,EXCbothC00147_e,Tc2eC00559_c,EXCbothC05841_e
31	C00010_c	alternative_2	CoA	25.0	0.0	24	64	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R00130_c,R01876_c,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,Tc2eC00831_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00253_e,EXCbothC00155_e,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R02484_c,R00004_c,Tc2eC00155_c,Tc2eC00253_c,Tc2eC00262_c,EXCbothC00019_e,R00130_c,R01876_c,Tc2eC00009_c,Tc2eC05841_c,EXCbothC00021_e,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,MT_biomass_C00010_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,EXCbothC00262_e,Tc2eC00152_c,Tc2eC00831_c,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,EXCbothC00831_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,EXCbothC00212_e,EXCbothC00147_e,Tc2eC00559_c,EXCbothC05841_e
30	C00010_c	alternative_1	CoA	25.0	0.0	24	64	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R00130_c,R01876_c,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,R00256_c,R01083_c,Tc2eC00831_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00253_e,EXCbothC00155_e,Tc2eC00147_c,R01049_c,EXCbothC00009_e,R02484_c,R00004_c,Tc2eC00155_c,Tc2eC00253_c,Tc2eC00262_c,EXCbothC00019_e,R00130_c,R01876_c,Tc2eC00009_c,Tc2eC05841_c,EXCbothC00021_e,R02971_c,R00330_c,R03035_c,R01135_c,R04936_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,MT_biomass_C00010_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,EXCbothC00262_e,Tc2eC00152_c,Tc2eC00831_c,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,EXCbothC00831_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,EXCbothC00212_e,EXCbothC00147_e,Tc2eC00559_c,EXCbothC05841_e
153	C00234_c	alternative_1	10-Formyltetrahydrofolate	25.0	0.0	4	13	0.0	0.0	R00945_c		R01655_c,R00940_c,R00937_c,R00945_c	EXCbothC00272_e,R00940_c,Tc2eC00065_c,Tc2eC00272_c,EXCbothC00504_e,R01220_c,R01793_c,EXCbothC00065_e,R00945_c,R01655_c,Tc2eC00504_c,MT_biomass_C00234_c,R00937_c
54	C00037_c	alternative_1	Glycine	20.0	0.0	5	22	0.0	0.0	R00945_c		R00940_c,R01248_c,R00899_c,R00945_c,R00937_c	R01220_c,Tc2eC03912_c,EXCbothC03912_e,EXCbothC05781_e,R00945_c,R00940_c,Tc2eC01419_c,EXCbothC00037_e,Tc2eC05781_c,MT_biomass_C00037_c,EXCbothC00445_e,R00937_c,R01248_c,Tc2eC00080_c,Tc2eC00037_c,EXCbothC01419_e,HBDG_c,R00899_c,EXCbothC00080_e,EXCbothC00504_e,Tc2eC00445_c,Tc2eC00504_c
154	C00234_c	alternative_2	10-Formyltetrahydrofolate	25.0	0.0	4	13	0.0	0.0	R00945_c		R01655_c,R00940_c,R00937_c,R00945_c	EXCbothC00272_e,R00940_c,Tc2eC00065_c,Tc2eC00272_c,EXCbothC00504_e,R01220_c,R01793_c,EXCbothC00065_e,R00945_c,R01655_c,Tc2eC00504_c,MT_biomass_C00234_c,R00937_c
155	C00234_c	alternative_3	10-Formyltetrahydrofolate	25.0	0.0	4	13	0.0	0.0	R00945_c		R01655_c,R00940_c,R00937_c,R00945_c	EXCbothC00272_e,R00940_c,Tc2eC00065_c,Tc2eC00272_c,EXCbothC00504_e,R01220_c,R01793_c,EXCbothC00065_e,R00945_c,R01655_c,Tc2eC00504_c,MT_biomass_C00234_c,R00937_c
19	C00003_c	alternative_2	NAD+	29.166666666666668	0.0	24	65	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02294_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R03005_c,R01876_c,R01724_c,R00330_c,R01135_c,R04936_c,R00190_c,R00257_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,EXCbothC00153_e,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,Tc2eC00147_c,R01049_c,MT_biomass_C00003_c,R02484_c,EXCbothC00009_e,R03005_c,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,R01876_c,Tc2eC00009_c,R01724_c,Tc2eC05841_c,EXCbothC00021_e,R00330_c,R01135_c,R04936_c,R00257_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC05841_e
18	C00003_c	alternative_1	NAD+	29.166666666666668	0.0	24	65	0.0	0.0	R01561_c,R01863_c,R02295_c,R02557_c,R01876_c,R02294_c,R02484_c		R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,R01049_c,R02484_c,R00004_c,R03005_c,R01876_c,R01724_c,R00330_c,R01135_c,R04936_c,R00190_c,R00257_c,R00256_c,R01083_c,R02294_c,R00192_c,R00578_c,R00127_c,R00650_c,R01057_c	EXCbothC03150_e,Tc2eC00122_c,R01561_c,R01863_c,R02295_c,R02557_c,R01132_c,EXCbothC00153_e,Tc2eC00299_c,Tc2eC00294_c,Tc2eC00021_c,Tc2eC05698_c,EXCbothC00155_e,Tc2eC00147_c,R01049_c,MT_biomass_C00003_c,R02484_c,EXCbothC00009_e,R03005_c,R00004_c,Tc2eC00155_c,Tc2eC00262_c,EXCbothC00019_e,R01876_c,Tc2eC00009_c,R01724_c,Tc2eC05841_c,EXCbothC00021_e,R00330_c,R01135_c,R04936_c,R00257_c,R00190_c,Tc2eC00212_c,Tc2eC00019_c,EXCbothC00559_e,Tc2eC00025_c,EXCbothC05692_e,R00256_c,R01083_c,EXCbothC05698_e,Tc2eC03150_c,Tc2eC00152_c,R02294_c,EXCbothC00262_e,Tc2eC00013_c,EXCbothC00025_e,Tc2eC00526_c,EXCbothC00299_e,R00192_c,EXCbothC00526_e,R00578_c,Tc2eC05692_c,EXCbothC00294_e,EXCbothC00013_e,R00127_c,R00650_c,EXCbothC00152_e,R01057_c,EXCbothC00122_e,Tc2eC00153_c,EXCbothC00147_e,EXCbothC00212_e,Tc2eC00559_c,EXCbothC05841_e
