Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Is Pseudo	# Transcripts	Gene Name or Symbol	Previous ID(s)	
PBANKA_0000101	PBANKA_0000101.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:2..1,466(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0000201	PBANKA_0000201.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:3,142..3,563(-)	fam-c protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0000301	PBANKA_0000301.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:5,519..6,295(-)	fam-b protein	No	1	N/A	Previous IDs: PBANKA_050030	
PBANKA_0000401	PBANKA_0000401.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:7,677..8,886(+)	tryptophan-rich antigen, putative, pseudogene	Yes	1	N/A	N/A	
PBANKA_0000600	PBANKA_0000600.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:11,314..12,359(+)	PIR protein	No	1	N/A	Previous IDs: PB200100.00.0;PB500044.00.0;PBANKA_000060	
PBANKA_0000701	PBANKA_0000701.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:14,967..16,089(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0000801	PBANKA_0000801.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:18,408..19,512(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0000901	PBANKA_0000901.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:21,684..23,789(-)	fam-a protein	No	1	N/A	N/A	
PBANKA_0001001	PBANKA_0001001.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:27,649..28,863(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0001101	PBANKA_0001101.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:31,295..32,438(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0001200	PBANKA_0001200.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:3,461..4,899(-)	fam-a protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000120	
PBANKA_0001201	PBANKA_0001201.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:34,779..35,894(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0001301	PBANKA_0001301.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:38,189..39,385(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0001401	PBANKA_0001401.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:41,897..43,091(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0001501	PBANKA_0001501.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:45,928..47,041(+)	PIR protein	No	1	N/A	N/A	
