Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Is Pseudo	# Transcripts	# Exons in Gene	# Exons in Transcript	Gene Name or Symbol	Transcript Length
PBANKA_0000101	PBANKA_0000101.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:2..1,466(+)	PIR protein	No	1	2	2	N/A	1353
PBANKA_0000201	PBANKA_0000201.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:3,142..3,563(-)	fam-c protein, pseudogene	Yes	1	3	3	N/A	291
PBANKA_0000301	PBANKA_0000301.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:5,519..6,295(-)	fam-b protein	No	1	1	1	N/A	777
PBANKA_0000401	PBANKA_0000401.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:7,677..8,886(+)	tryptophan-rich antigen, putative, pseudogene	Yes	1	4	4	N/A	969
PBANKA_0000600	PBANKA_0000600.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:11,314..12,359(+)	PIR protein	No	1	3	3	N/A	843
PBANKA_0000701	PBANKA_0000701.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:14,967..16,089(+)	PIR protein	No	1	3	3	N/A	927
PBANKA_0000801	PBANKA_0000801.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:18,408..19,512(+)	PIR protein	No	1	3	3	N/A	888
PBANKA_0000901	PBANKA_0000901.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:21,684..23,789(-)	fam-a protein	No	1	6	6	N/A	1209
PBANKA_0001001	PBANKA_0001001.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:27,649..28,863(+)	PIR protein	No	1	3	3	N/A	990
PBANKA_0001101	PBANKA_0001101.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:31,295..32,438(+)	PIR protein	No	1	3	3	N/A	948
PBANKA_0001200	PBANKA_0001200.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_3:3,461..4,899(-)	fam-a protein, pseudogene	Yes	1	6	6	N/A	726
PBANKA_0001201	PBANKA_0001201.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:34,779..35,894(+)	PIR protein	No	1	3	3	N/A	921
PBANKA_0001301	PBANKA_0001301.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:38,189..39,385(+)	PIR protein	No	1	3	3	N/A	957
PBANKA_0001401	PBANKA_0001401.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:41,897..43,091(+)	PIR protein	No	1	3	3	N/A	981
PBANKA_0001501	PBANKA_0001501.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:45,928..47,041(+)	PIR protein	No	1	3	3	N/A	891
PBANKA_0001601	PBANKA_0001601.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:48,795..50,417(-)	fam-a protein	No	1	6	6	N/A	978
PBANKA_0006300	PBANKA_0006300.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_1:53,843..55,016(+)	PIR protein	No	1	3	3	N/A	957
PBANKA_0006401	PBANKA_0006401.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:733..1,555(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0006501	PBANKA_0006501.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:3,023..3,845(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
PBANKA_0006600	PBANKA_0006600.1	P. berghei ANKA	PbANKA_00_v3_archived_contig_2:5,313..6,135(-)	PIR protein, pseudogene	Yes	1	4	4	N/A	729
